"","Abstract","class","Cluster","Flags","StartTime","EndTime"
"1","An Overview of Existing and a Novel Approaches to Multi-label Classification",1,-1,"Keynote",2018-03-18 08:40:00,2018-03-18 09:01:00
"2","Efficiently Computing the Projection Median in $R^3$",1,6,"Student",2018-03-18 09:01:00,2018-03-18 09:22:00
"3","Feature Selection Methods for the Development of Case Definitions for Common Chronic Conditions in Primary Care Electronic Medical Record Data",2,4,"Invited",2018-03-18 09:01:00,2018-03-18 09:22:00
"4","Group Variable Selection for Recurrent Event Data",3,27,"Student",2018-03-18 09:01:00,2018-03-18 09:22:00
"5","Accurate Confidence Intervals for Clustered Data and Small Samples",4,28,"Student",2018-03-18 09:01:00,2018-03-18 09:22:00
"6","Disclosure Control and Random Tabular Adjustment",5,13,"Student",2018-03-18 09:01:00,2018-03-18 09:22:00
"7","Designing and Launching a Professional Master’s Program in Data Science: Tales from the UBC Experience",6,41,"Student",2018-03-18 09:01:00,2018-03-18 09:22:00
"8","Vine Copulas for Imputation of Monotone Non-response",7,30,"Invited",2018-03-18 09:01:00,2018-03-18 09:22:00
"9","Probabilistic Symmetries and Random Locations",8,39,"Invited",2018-03-18 09:01:00,2018-03-18 09:22:00
"10","A Simple Tool for Bounding the Deviation of Random Matrices on Geometric Sets, with Applications",1,6,"Student",2018-03-18 09:22:00,2018-03-18 09:43:00
"11","Statistical Opportunities and Challenges in Multiple-Platform Biomedical Studies",2,4,"Invited",2018-03-18 09:22:00,2018-03-18 09:43:00
"12","Joint Analysis of a Longitudinal Binary Outcome and Recurrent Events with Application to Cystic Fibrosis Outcomes",3,27,"Invited",2018-03-18 09:22:00,2018-03-18 09:43:00
"13","A Self-Selecting Procedure for the Optimal Discretization of the Timeline for Longitudinal Causal Inference Methods with Electronic Health Data",4,28,"Student",2018-03-18 09:22:00,2018-03-18 09:43:00
"14","Design and Relative Efficiency of Tracing Studies in Cohorts with Loss to Followup",5,13,"Invited",2018-03-18 09:22:00,2018-03-18 09:43:00
"15","A Dirichlet Regression Model for Compositional Data with Zeros",6,41,"Invited",2018-03-18 09:22:00,2018-03-18 09:43:00
"16","Estimation Strategies for Weighted Least Absolute Deviations Regression Models",7,30,"Contributed",2018-03-18 09:22:00,2018-03-18 09:43:00
"17","A More Dynamic Lab Experience: Implementation of Weekly Automated and Teaching Assistant Supported Lab Exercises to Increase Student Engagement through Small-Step Learning",8,39,"Invited",2018-03-18 09:22:00,2018-03-18 09:43:00
"18","A Novel Hidden Markov Model Approach for Differentially Methylated Region Identification in DNA Methylation Data",1,6,"Student",2018-03-18 09:43:00,2018-03-18 10:04:00
"19","Measuring Cash and Payment Card Usage at the Point-of-Sale for Consumers and Merchants",2,4,"Invited",2018-03-18 09:43:00,2018-03-18 10:04:00
"20","Predictive Analytics in Business",3,27,"Invited",2018-03-18 09:43:00,2018-03-18 10:04:00
"21","Self-Normalized Weak and Strong Functional Limit Laws in the Domain of Attraction of Stable Laws",4,28,"Invited",2018-03-18 09:43:00,2018-03-18 10:04:00
"22","Predictive Mean Matching Imputation in Survey Sampling",5,13,"Invited",2018-03-18 09:43:00,2018-03-18 10:04:00
"23","Joint Analysis of Longitudinal Zero-heavy Panel Count Outcomes with Application to Understanding Desistance from Criminal Activity",6,41,"Invited",2018-03-18 09:43:00,2018-03-18 10:04:00
"24","Optimal Investment Strategies and Inter-Generational Risk-Sharing for Target Benefit Pension Plans",7,30,"Contributed",2018-03-18 09:43:00,2018-03-18 10:04:00
"25","Portfolio of Exchangeable Risks: Aggregation with Partial Information on Dependence",8,39,"Contributed",2018-03-18 09:43:00,2018-03-18 10:04:00
"26","Analysis of Heterogeneous Lifetime Data with Measurement Error in Covariate",1,6,"Student",2018-03-18 10:04:00,2018-03-18 10:25:00
"27","Breaking the Myth of Breaking Randomization: A Causal Examination of Arm-Based Meta-Analysis",2,4,"Invited",2018-03-18 10:04:00,2018-03-18 10:25:00
"28","Adaptive Functional Regression with Manifold Structures",3,27,"Invited",2018-03-18 10:04:00,2018-03-18 10:25:00
"29","Motivating Introductory Statistics",4,28,"Contributed",2018-03-18 10:04:00,2018-03-18 10:25:00
"30","Ergodicity and Approximation of the Conditional Causation Probability of Engineering Systems",5,13,"Invited",2018-03-18 10:04:00,2018-03-18 10:25:00
"31","Statistics, Science and Technology",6,41,"Invited",2018-03-18 10:04:00,2018-03-18 10:25:00
"32","Non-regular Inference for Dynamic Weighted Ordinary Least Squares: Understanding the Impact of Solid Food Intake in Infancy on Childhood Weight",7,30,"Contributed",2018-03-18 10:04:00,2018-03-18 10:25:00
"33","Multiple Imputation of Incomplete Accelerometer Data",1,6,"Invited",2018-03-18 10:25:00,2018-03-18 10:46:00
"34","How the Design of the New Zealand Health Survey Contributes to Informed Decision Making in Public Health Policy",2,4,"Invited",2018-03-18 10:25:00,2018-03-18 10:46:00
"35","Empirical Likelihood and Semiparametric Inference with Survey Data",3,27,"Contributed",2018-03-18 10:25:00,2018-03-18 10:46:00
"36","SimRVPedigree: An R Package to Simulate Pedigrees Ascertained for Multiple Relatives Affected by a Rare Disease",4,28,"Contributed",2018-03-18 10:25:00,2018-03-18 10:46:00
"37","The Analysis of Longitudinal Multivariate (Discrete or Continuous) Traits under Irregular Time Measurements",5,13,"Invited",2018-03-18 10:25:00,2018-03-18 10:46:00
"38","Non-identifiable Interaction Models with Misclassification",6,41,"Contributed",2018-03-18 10:25:00,2018-03-18 10:46:00
"39","Missing Data Mechanisms for Incomplete Longitudinal Observations in both Responses and Covariates",1,6,"Invited",2018-03-18 10:46:00,2018-03-18 11:07:00
"40","Optimal Investment Strategies for Participating Contracts",2,4,"Invited",2018-03-18 10:46:00,2018-03-18 11:07:00
"41","On the Mixtures of Length-biased Weibull Distributions",3,27,"Contributed",2018-03-18 10:46:00,2018-03-18 11:07:00
"42","Empirical Likelihood Multiscale Inference of the Scaling Property of Time Series Models",4,28,"Contributed",2018-03-18 10:46:00,2018-03-18 11:07:00
"43","Joint Modeling of Longitudinal Proportional Measurements and Survival Times with a Cure Fraction",1,6,"Invited",2018-03-18 11:07:00,2018-03-18 11:28:00
"44","Methods of Selecting a Person within a Household: Mailed Invitations for an Electronic Questionnaire",2,4,"Contributed",2018-03-18 11:07:00,2018-03-18 11:28:00
"45","Practical Considerations when Analyzing Small Samples of Discrete Survival Times Using the Grouped Relative Risk Model",3,27,"Contributed",2018-03-18 11:07:00,2018-03-18 11:28:00
"46","Analysis of Recurrent Events Data Based on Trend-Renewal Process",4,28,"Contributed",2018-03-18 11:07:00,2018-03-18 11:28:00
"47","Left-Truncated and Right-Censored Survival Data Analysis with Covariate Measurement Error",1,6,"Contributed",2018-03-18 11:28:00,2018-03-18 11:49:00
"48","Bayesian Sensitivity Analysis for Non-ignorable Missing Data in Longitudinal Studies",2,4,"Contributed",2018-03-18 11:28:00,2018-03-18 11:49:00
"49","A Flexible Parametric Proportional Hazards Model for Time-to-Event Data",3,27,"Contributed",2018-03-18 11:28:00,2018-03-18 11:49:00
"50","On Copula-Based Conditional Quantile Estimators",4,28,"Contributed",2018-03-18 11:28:00,2018-03-18 11:49:00
"51","Testing for Parallel Carryover Effects in Redundant Systems",1,6,"Contributed",2018-03-18 13:30:00,2018-03-18 13:52:00
"52","The Collection Challenges of the 2016 Reverse Record Check Survey",2,4,"Contributed",2018-03-18 13:30:00,2018-03-18 13:52:00
"53","New approach to GIX/Geom/1 Queues involving Heavy-Tailed distributions",3,27,"Contributed",2018-03-18 13:30:00,2018-03-18 13:52:00
"54","Teaching the Statistical Investigation Process with Simulation-Based Inference to Improve Statistical Thinking",4,36,"Invited",2018-03-18 13:30:00,2018-03-18 13:52:00
"55","Geostatistical Inference under Preferential Sampling",5,18,"Student",2018-03-18 13:30:00,2018-03-18 13:52:00
"56","Tree-Based Approaches for Personalized Risk Prediction with Longitudinal Biomarkers: An Application to Fetal Growth",6,42,"Invited",2018-03-18 13:30:00,2018-03-18 13:52:00
"57","Achieving Higher Efficiency and Robustness in Longitudinal Studies with Dropout",7,31,"Invited",2018-03-18 13:30:00,2018-03-18 13:52:00
"58","Change-Point Detection in Time Series using Ordinal Patterns",8,40,"Student",2018-03-18 13:30:00,2018-03-18 13:52:00
"59","Empirical Eigenvalue Based Testing for Structural Breaks in Linear Factor Models",1,6,"Contributed",2018-03-18 13:52:00,2018-03-18 14:14:00
"60","Modeling T-cell Trajectory Data using Hidden Markov Models",2,4,"Contributed",2018-03-18 13:52:00,2018-03-18 14:14:00
"61","Stochastic Correlation and Regulatory Capital",4,36,"Invited",2018-03-18 13:52:00,2018-03-18 14:14:00
"62","Non-response Follow-up for Business Surveys",5,18,"Invited",2018-03-18 13:52:00,2018-03-18 14:14:00
"63","Robust Estimation under Cellwise and Casewise Contamination",6,42,"Invited",2018-03-18 13:52:00,2018-03-18 14:14:00
"64","Optimal Designs for Estimating Parameters of the Bradley-Terry Model for Paired Comparisons",7,31,"Contributed",2018-03-18 13:52:00,2018-03-18 14:14:00
"65","Spatial Quantile Regression Models for High-Dimensional Imaging Data",8,40,"Invited",2018-03-18 13:52:00,2018-03-18 14:14:00
"66","DM-PhyClus: A Bayesian Phylogenetic Clustering Algorithm Incorporating Dirichlet-Multinomial Priors",1,6,"Contributed",2018-03-18 14:14:00,2018-03-18 14:36:00
"67","Foldover Designs with Column Permutations",2,4,"Contributed",2018-03-18 14:14:00,2018-03-18 14:36:00
"68","Archimedean Copulas through Multivariate Gamma Distributions",4,36,"Invited",2018-03-18 14:14:00,2018-03-18 14:36:00
"69","Estimating the Population Size of Greater Victoria’s Injection Drug Users using Capture-Recapture Methods",5,18,"Invited",2018-03-18 14:14:00,2018-03-18 14:36:00
"70","Improved Estimation and Identification of Block-Exchangeable Dependence Structures",6,42,"Invited",2018-03-18 14:14:00,2018-03-18 14:36:00
"71","Estimation in Model Selection after Imputation",7,31,"Contributed",2018-03-18 14:14:00,2018-03-18 14:36:00
"72","Robust Small Area Estimation in Generalized Linear Models",8,40,"Invited",2018-03-18 14:14:00,2018-03-18 14:36:00
"73","Bayesian Optimality for Beran's Class of Tests of Uniformity around the Circle",1,6,"Contributed",2018-03-18 14:36:00,2018-03-18 14:58:00
"74","Good Deal Indices in Asset Pricing: Actuarial and Financial Implications",4,36,"Invited",2018-03-18 14:36:00,2018-03-18 14:58:00
"75","Confidence Estimating Functions for Data Integration",5,18,"Invited",2018-03-18 14:36:00,2018-03-18 14:58:00
"76","Two Innovative Applications of Classification and Regression Trees",6,42,"Contributed",2018-03-18 14:36:00,2018-03-18 14:58:00
"77","Incorporating Medians in Meta-Analysis",7,31,"Contributed",2018-03-18 14:36:00,2018-03-18 14:58:00
"78","Seasonality in Influenza Mortality: Moving Beyond the Annual Cycle",1,6,"Contributed",2018-03-18 15:30:00,2018-03-18 15:52:00
"79","Balanced Imputation for Swiss Cheese Nonresponse",2,43,"Student",2018-03-18 15:30:00,2018-03-18 15:52:00
"80","An Interval Censored MPR Survival Model",3,1,"Student",2018-03-18 15:30:00,2018-03-18 15:52:00
"81","Improved Global Minimum Variance Portfolio via a Dominant Eigenvalue Shrinkage",4,36,"Contributed",2018-03-18 15:30:00,2018-03-18 15:52:00
"82","Revisiting Variance Decomposition when Independent Samples Intersect",5,18,"Contributed",2018-03-18 15:30:00,2018-03-18 15:52:00
"83","A deep learning-based integrative analysis framework for molecular classification of breast cancer",6,42,"Contributed",2018-03-18 15:30:00,2018-03-18 15:52:00
"84","Comparison of Multivariate Classifiers in the Presence of Covariates in Repeated Measures Designs",7,34,"Student",2018-03-18 15:30:00,2018-03-18 15:52:00
