"","Abstract","class","Cluster","Flags","StartTime","EndTime"
"1","An Overview of Existing and a Novel Approaches to Multi-label Classification",1,-1,"Keynote",2018-03-18 08:40:00,2018-03-18 09:01:00
"2","Disclosure Control and Random Tabular Adjustment",1,6,"Student",2018-03-18 09:01:00,2018-03-18 09:22:00
"3","Localized Quantile Regression of Realized Volatility",2,11,"Contributed",2018-03-18 09:01:00,2018-03-18 09:22:00
"4","Conditional Dependence Models under Covariate Measurement Error",3,8,"Contributed",2018-03-18 09:01:00,2018-03-18 09:22:00
"5","Estimation and Inference in Directional Mixed Models for Compositional Data",4,12,"Student",2018-03-18 09:01:00,2018-03-18 09:22:00
"6","Accurate Confidence Intervals for Clustered Data and Small Samples",5,9,"Student",2018-03-18 09:01:00,2018-03-18 09:22:00
"7","Generalized Simulated Method-of-Moments for Copula Parameters of Arbitrary Dimension",6,21,"Invited",2018-03-18 09:01:00,2018-03-18 09:22:00
"8","Efficiently Computing the Projection Median in $R^3$",7,20,"Student",2018-03-18 09:01:00,2018-03-18 09:22:00
"9","Comparison of Multivariate Classifiers in the Presence of Covariates in Repeated Measures Designs",1,6,"Student",2018-03-18 09:22:00,2018-03-18 09:43:00
"10","Dependent Models for the Duration and Size of BC Fires",2,11,"Contributed",2018-03-18 09:22:00,2018-03-18 09:43:00
"11","Computational Neuroscience: A Romance of Many Disciplines",3,8,"Contributed",2018-03-18 09:22:00,2018-03-18 09:43:00
"12","Estimating Cross-validatory Predictive P-values with Integrated Importance Sampling for Disease Mapping Models",4,12,"Invited",2018-03-18 09:22:00,2018-03-18 09:43:00
"13","A Simple Tool for Bounding the Deviation of Random Matrices on Geometric Sets, with Applications",5,9,"Student",2018-03-18 09:22:00,2018-03-18 09:43:00
"14","Improving Risk Assessment using Market Expectations and Information from Model Risks",6,21,"Invited",2018-03-18 09:22:00,2018-03-18 09:43:00
"15","From Brain to Hand to Statistics with Dynamic Smoothing",7,20,"Invited",2018-03-18 09:22:00,2018-03-18 09:43:00
"16","Detecting Adverse Drug Effects from Pharmacovigilance Databases",1,6,"Student",2018-03-18 09:43:00,2018-03-18 10:04:00
"17","Multivariate Response-Dependent Two-Phase Sampling Designs",3,8,"Contributed",2018-03-18 09:43:00,2018-03-18 10:04:00
"18","Generative Mixture of Networks",4,12,"Invited",2018-03-18 09:43:00,2018-03-18 10:04:00
"19","Educreations: Video Tools for Statistical Teaching",5,9,"Invited",2018-03-18 09:43:00,2018-03-18 10:04:00
"20","Estimation Strategies for Weighted Least Absolute Deviations Regression Models",6,21,"Contributed",2018-03-18 09:43:00,2018-03-18 10:04:00
"21","A Combined Estimating Function Approach to Count Data Regression Modeling",7,20,"Invited",2018-03-18 09:43:00,2018-03-18 10:04:00
"22","Continuous Models for Aggregated Spatio-Temporal Data in Practice",1,6,"Student",2018-03-18 10:04:00,2018-03-18 10:25:00
"23","Should a Propensity Score be Super? A Comparison of Estimation Methods",3,8,"Contributed",2018-03-18 10:04:00,2018-03-18 10:25:00
"24","Matrix Linear Discriminant Analysis",4,12,"Invited",2018-03-18 10:04:00,2018-03-18 10:25:00
"25","Data Science Programs at the University of Waterloo",5,9,"Invited",2018-03-18 10:04:00,2018-03-18 10:25:00
"26","Outlier Robust Estimation of the Total Private Cost of Payment Methods for Large Businesses",6,21,"Contributed",2018-03-18 10:04:00,2018-03-18 10:25:00
"27","Combatting Overfitting in Finite Mixture Models",7,20,"Contributed",2018-03-18 10:04:00,2018-03-18 10:25:00
"28","A Self-Selecting Procedure for the Optimal Discretization of the Timeline for Longitudinal Causal Inference Methods with Electronic Health Data",1,6,"Student",2018-03-18 10:25:00,2018-03-18 10:46:00
"29","Probability-Scale Residuals for Continuous, Discrete, and Censored Data",4,12,"Invited",2018-03-18 10:25:00,2018-03-18 10:46:00
"30","Reflections on Interactions with Industry",5,9,"Invited",2018-03-18 10:25:00,2018-03-18 10:46:00
"31","Modeling Recurrent Gap times Through Conditional GEE",6,21,"Contributed",2018-03-18 10:25:00,2018-03-18 10:46:00
"32","A Flexible Parametric Proportional Hazards Model for Time-to-Event Data",7,20,"Contributed",2018-03-18 10:25:00,2018-03-18 10:46:00
"33","Feature Selection Methods for the Development of Case Definitions for Common Chronic Conditions in Primary Care Electronic Medical Record Data",1,6,"Invited",2018-03-18 10:46:00,2018-03-18 11:07:00
"34","The Family of Chi-square Copulas and Applications in Spatial Statistics",4,12,"Invited",2018-03-18 10:46:00,2018-03-18 11:07:00
"35","Some Experiences From an Industry Collaboration",5,9,"Invited",2018-03-18 10:46:00,2018-03-18 11:07:00
"36","On Copula-Based Conditional Quantile Estimators",6,21,"Contributed",2018-03-18 10:46:00,2018-03-18 11:07:00
"37","Tree-Based Approaches for Personalized Risk Prediction with Longitudinal Biomarkers: An Application to Fetal Growth",1,6,"Invited",2018-03-18 11:07:00,2018-03-18 11:28:00
"38","Archimedean Copulas through Multivariate Gamma Distributions",4,12,"Invited",2018-03-18 11:07:00,2018-03-18 11:28:00
"39","Incorporating Auxiliary Information by Joint Modelling of Pseudo Data and Length Biased Data",5,9,"Contributed",2018-03-18 11:07:00,2018-03-18 11:28:00
"40","Joint Analysis of Longitudinal Zero-heavy Panel Count Outcomes with Application to Understanding Desistance from Criminal Activity",1,6,"Invited",2018-03-18 11:28:00,2018-03-18 11:49:00
"41","On the Mixtures of Length-biased Weibull Distributions",4,12,"Contributed",2018-03-18 11:28:00,2018-03-18 11:49:00
"42","Bayesian Optimality for Beran's Class of Tests of Uniformity around the Circle",5,9,"Contributed",2018-03-18 11:28:00,2018-03-18 11:49:00
"43","Discordance in Hormone Receptor Status Between Two Primary Breast Cancers: The Impact of Misclassification",1,6,"Invited",2018-03-18 13:30:00,2018-03-18 13:52:00
"44","A Novel Hidden Markov Model Approach for Differentially Methylated Region Identification in DNA Methylation Data",2,4,"Student",2018-03-18 13:30:00,2018-03-18 13:52:00
"45","Group Variable Selection for Recurrent Event Data",3,7,"Student",2018-03-18 13:30:00,2018-03-18 13:52:00
