"","Abstract","class","Cluster","Flags","StartTime","EndTime"
"1","An Overview of Existing and a Novel Approaches to Multi-label Classification",1,-1,"Keynote",2018-03-18 08:40:00,2018-03-18 09:01:00
"2","Flipping the Online Learning Environment",1,13,"Student",2018-03-18 09:01:00,2018-03-18 09:22:00
"3","Reduced-Rank Singular Value Decomposition for Dimension Reduction with High-Dimensional Data",2,21,"Contributed",2018-03-18 09:01:00,2018-03-18 09:22:00
"4","Strategies to Handle Missing Binary Outcomes in Cluster Randomized Trials",3,6,"Invited",2018-03-18 09:01:00,2018-03-18 09:22:00
"5","Statistical Opportunities and Challenges in Multiple-Platform Biomedical Studies",4,8,"Invited",2018-03-18 09:01:00,2018-03-18 09:22:00
"6","A Simple Tool for Bounding the Deviation of Random Matrices on Geometric Sets, with Applications",5,18,"Student",2018-03-18 09:01:00,2018-03-18 09:22:00
"7","Effectiveness of Gamification Feature in Introductory Statistics Course",6,32,"Student",2018-03-18 09:01:00,2018-03-18 09:22:00
"8","Approximation of Squared Integrable Random Variables with Nonlinear Stochastic Integrals",7,11,"Invited",2018-03-18 09:01:00,2018-03-18 09:22:00
"9","Geographic Topic Modelling to Predict Regional Beer Success",8,31,"Invited",2018-03-18 09:01:00,2018-03-18 09:22:00
"10","Estimation and Inference in Directional Mixed Models for Compositional Data",1,13,"Student",2018-03-18 09:22:00,2018-03-18 09:43:00
"11","Improved Global Minimum Variance Portfolio via a Dominant Eigenvalue Shrinkage",2,21,"Contributed",2018-03-18 09:22:00,2018-03-18 09:43:00
"12","Registry-Based Randomized Controlled Trials: The Case for Explanatory-Pragmatic Continuum",3,6,"Invited",2018-03-18 09:22:00,2018-03-18 09:43:00
"13","Towards More Reliable Neuroimaging-Based Biomarkers in Mental Illness: The Case of Schizophrenia Discrimination using fMRI Data",4,8,"Invited",2018-03-18 09:22:00,2018-03-18 09:43:00
"14","Continuous Models for Aggregated Spatio-Temporal Data in Practice",5,18,"Student",2018-03-18 09:22:00,2018-03-18 09:43:00
"15","How to tell when Association might be Causation",6,32,"Invited",2018-03-18 09:22:00,2018-03-18 09:43:00
"16","Optimal Investment Strategies for Participating Contracts",7,11,"Invited",2018-03-18 09:22:00,2018-03-18 09:43:00
"17","Statistical Methodology on Human Microbiome Data Analysis",8,31,"Invited",2018-03-18 09:22:00,2018-03-18 09:43:00
"18","From Brain to Hand to Statistics with Dynamic Smoothing",1,13,"Invited",2018-03-18 09:43:00,2018-03-18 10:04:00
"19","Gene Set Enrichment Analysis in Longitudinal Studies",2,21,"Contributed",2018-03-18 09:43:00,2018-03-18 10:04:00
