"","Abstract","class","Cluster","Flags","StartTime","EndTime"
"1","An Overview of Existing and a Novel Approaches to Multi-label Classification",1,-1,"Keynote",2018-03-18 08:40:00,2018-03-18 09:01:00
"2","Change-Point Detection in Time Series using Ordinal Patterns",1,28,"Student",2018-03-18 09:01:00,2018-03-18 09:22:00
"3","Accurate Confidence Intervals for Clustered Data and Small Samples",2,2,"Student",2018-03-18 09:01:00,2018-03-18 09:22:00
"4","Strong Heredity Penalized Regression Models for Non-Linear Gene-Environment Interactions",3,5,"Contributed",2018-03-18 09:01:00,2018-03-18 09:22:00
"5","The Challenge of Creating Data Collection Methods that are Neither Too Far Ahead nor Behind our Survey Respondents",4,1,"Invited",2018-03-18 09:01:00,2018-03-18 09:22:00
"6","An Interval Censored MPR Survival Model",5,16,"Student",2018-03-18 09:01:00,2018-03-18 09:22:00
"7","Matrix Linear Discriminant Analysis",6,21,"Invited",2018-03-18 09:01:00,2018-03-18 09:22:00
"8","Statistical Opportunities and Challenges in Multiple-Platform Biomedical Studies",7,12,"Invited",2018-03-18 09:01:00,2018-03-18 09:22:00
"9","Comparison of Multivariate Classifiers in the Presence of Covariates in Repeated Measures Designs",1,28,"Student",2018-03-18 09:22:00,2018-03-18 09:43:00
"10","Continuous Models for Aggregated Spatio-Temporal Data in Practice",2,2,"Student",2018-03-18 09:22:00,2018-03-18 09:43:00
"11","A Bayesian Approach for Pattern Detection in Extremely Small Sample Sizes: Application to Proteomic Cell Line Data of Human Leukemia",3,5,"Contributed",2018-03-18 09:22:00,2018-03-18 09:43:00
"12","Methods of Selecting a Person within a Household: Mailed Invitations for an Electronic Questionnaire",4,1,"Contributed",2018-03-18 09:22:00,2018-03-18 09:43:00
"13","Robust Estimation under Cellwise and Casewise Contamination",5,16,"Invited",2018-03-18 09:22:00,2018-03-18 09:43:00
"14","Adaptive Functional Regression with Manifold Structures",6,21,"Invited",2018-03-18 09:22:00,2018-03-18 09:43:00
"15","Predictive Analytics in Business",7,12,"Invited",2018-03-18 09:22:00,2018-03-18 09:43:00
"16","Estimation and Inference in Directional Mixed Models for Compositional Data",1,28,"Student",2018-03-18 09:43:00,2018-03-18 10:04:00
"17","Estimating Cross-validatory Predictive P-values with Integrated Importance Sampling for Disease Mapping Models",2,2,"Invited",2018-03-18 09:43:00,2018-03-18 10:04:00
"18","SimRVPedigree: An R Package to Simulate Pedigrees Ascertained for Multiple Relatives Affected by a Rare Disease",3,5,"Contributed",2018-03-18 09:43:00,2018-03-18 10:04:00
"19","The Status of Statistics Curricula in Canada",4,1,"Contributed",2018-03-18 09:43:00,2018-03-18 10:04:00
"20","Non-response Follow-up for Business Surveys",5,16,"Invited",2018-03-18 09:43:00,2018-03-18 10:04:00
"21","Importance Sampling Techniques for Single Index Models",6,21,"Contributed",2018-03-18 09:43:00,2018-03-18 10:04:00
"22","Statistics, Science and Technology",7,12,"Invited",2018-03-18 09:43:00,2018-03-18 10:04:00
"23","Geostatistical Inference under Preferential Sampling",1,28,"Student",2018-03-18 10:04:00,2018-03-18 10:25:00
"24","A Combined Estimating Function Approach to Count Data Regression Modeling",2,2,"Invited",2018-03-18 10:04:00,2018-03-18 10:25:00
"25","Individual Level Modelling of Infectious Disease Data: EpiILM",3,5,"Contributed",2018-03-18 10:04:00,2018-03-18 10:25:00
"26","The Collection Challenges of the 2016 Reverse Record Check Survey",4,1,"Contributed",2018-03-18 10:04:00,2018-03-18 10:25:00
"27","Self-Normalized Partial Sums of Randomly Weighted Data",5,16,"Invited",2018-03-18 10:04:00,2018-03-18 10:25:00
"28","On Convergence of Sample Correlation Matrices in High-Dimensional Data",6,21,"Contributed",2018-03-18 10:04:00,2018-03-18 10:25:00
"29","Computational Neuroscience: A Romance of Many Disciplines",7,12,"Contributed",2018-03-18 10:04:00,2018-03-18 10:25:00
"30","G-estimation and Model Selection for Dynamic Treatment Regimes",1,28,"Invited",2018-03-18 10:25:00,2018-03-18 10:46:00
"31","A Simple Variance Control Chart with Double Sampling Scheme",2,2,"Invited",2018-03-18 10:25:00,2018-03-18 10:46:00
"32","Gene Set Enrichment Analysis in Longitudinal Studies",3,5,"Contributed",2018-03-18 10:25:00,2018-03-18 10:46:00
"33","Quantile Regression with Nominated Samples",5,16,"Contributed",2018-03-18 10:25:00,2018-03-18 10:46:00
"34","Generalized Bent-Cable Regression for Changepoint Data",6,21,"Contributed",2018-03-18 10:25:00,2018-03-18 10:46:00
"35","Spatial Quantile Regression Models for High-Dimensional Imaging Data",1,28,"Invited",2018-03-18 10:46:00,2018-03-18 11:07:00
"36","Small Area Model Selection",2,2,"Invited",2018-03-18 10:46:00,2018-03-18 11:07:00
"37","Nonparametric Estimation in a Compound Mixture Model with Application to a Malaria Study",5,16,"Contributed",2018-03-18 10:46:00,2018-03-18 11:07:00
"38","Mode Detection in a Non-Stationary Environment",6,21,"Contributed",2018-03-18 10:46:00,2018-03-18 11:07:00
"39","Parametric Functional Principal Component Analysis",1,28,"Invited",2018-03-18 11:07:00,2018-03-18 11:28:00
"40","Causal Inference from Big Data: Theoretical Foundations and the Data-Fusion Problem",2,2,"Invited",2018-03-18 11:07:00,2018-03-18 11:28:00
"41","Job Vacancy and Wage Survey: Balancing Sampling and Operational Requirements using the Cube Method",5,16,"Contributed",2018-03-18 11:07:00,2018-03-18 11:28:00
"42","A Flexible Parametric Proportional Hazards Model for Time-to-Event Data",6,21,"Contributed",2018-03-18 11:07:00,2018-03-18 11:28:00
"43","Model-Robust Designs for Generalized Linear Mixed Models with Possible Misspecification",1,28,"Invited",2018-03-18 11:28:00,2018-03-18 11:49:00
"44","Robust Hierarchical Bayes Small Area Estimation for Nested Error Regression Model",2,2,"Invited",2018-03-18 11:28:00,2018-03-18 11:49:00
"45","Estimation in Model Selection after Imputation",5,16,"Contributed",2018-03-18 11:28:00,2018-03-18 11:49:00
"46","Parametric Spectral Density Estimation in Atomic Force Microscopy",6,21,"Contributed",2018-03-18 11:28:00,2018-03-18 11:49:00
"47","On the Bayesian Semi-Parametric Double Robustness Property",1,28,"Invited",2018-03-18 13:30:00,2018-03-18 13:52:00
"48","Confidence Estimating Functions for Data Integration",2,2,"Invited",2018-03-18 13:30:00,2018-03-18 13:52:00
"49","Hierarchical Models for Combining N-of-1 Trials",3,6,"Student",2018-03-18 13:30:00,2018-03-18 13:52:00
"50","Functional Central Limit Theorems for Self-Normalized Processes with Statistical Applications",4,20,"Student",2018-03-18 13:30:00,2018-03-18 13:52:00
"51","Incorporating Medians in Meta-Analysis",5,16,"Contributed",2018-03-18 13:30:00,2018-03-18 13:52:00
"52","Efficiently Computing the Projection Median in $R^3$",6,25,"Student",2018-03-18 13:30:00,2018-03-18 13:52:00
"53","Innovations in Sampling for Insecure and Data-Poor Environments",7,13,"Invited",2018-03-18 13:30:00,2018-03-18 13:52:00
"54","Panel discussion",8,-2,"Invited",2018-03-18 13:30:00,2018-03-18 13:52:00
"55","The Power of Simple Statistical Techniques in the Era of Big and Complex Data: Some Recent Examples from Genetic Association Studies",1,28,"Invited",2018-03-18 13:52:00,2018-03-18 14:14:00
"56","The Analysis of Longitudinal Multivariate (Discrete or Continuous) Traits under Irregular Time Measurements",2,2,"Invited",2018-03-18 13:52:00,2018-03-18 14:14:00
"57","A Bayesian HSROC Model for Network Meta-analysis of Diagnostic Tests",3,6,"Student",2018-03-18 13:52:00,2018-03-18 14:14:00
"58","Vine Copula Regression",4,20,"Invited",2018-03-18 13:52:00,2018-03-18 14:14:00
"59","A Simple Tool for Bounding the Deviation of Random Matrices on Geometric Sets, with Applications",6,25,"Student",2018-03-18 13:52:00,2018-03-18 14:14:00
"60","How the Design of the New Zealand Health Survey Contributes to Informed Decision Making in Public Health Policy",7,13,"Invited",2018-03-18 13:52:00,2018-03-18 14:14:00
"61","Industrial Quality Improvement Workshops and Applications",8,-2,"Invited",2018-03-18 13:52:00,2018-03-18 14:14:00
